Symbol,Price,Date,Volume
CLSN,2.19,1439766506145,34865
CLTX,0.58,1439766506168,27378
CYAD,55,1439766506220,802
CEMP,37.26,1439766506244,275470
CETX,2.7,1439766506302,126599
CETV,2.29,1439766506375,73683
CSFL,14.17,1439766506396,70836
CFBK,1.32,1439766506542,7802
CENT,11.21,1439766506568,16568
CENTA,11.95,1439766506589,56021
CVCY,11.13,1439766506641,200
CENX,6.07,1439766506722,1106936
CNBKA,41.61,1439766506855,2429
CPHD,49.05,1439766506880,966386
CERE,1.75,1439766506907,272756
CNTY,6.35,1439766506933,7045
CRNT,1.4,1439766506955,268791
CERU,3.5,1439766507059,42059
CERS,4.76,1439766507081,382454
CERN,64.253,1439766507143,2095458
CEVA,19.26,1439766507278,81703
KOOL,0.675,1439766507312,13513
CYOU,20.2964,1439766507381,76909
HOTR,1.62,1439766507412,194026
HOTRW,NULL,1439766507455,0
CHTR,180,1439766507509,514138
CTHR,1.23,1439766507533,32192
CHFN,12.62,1439766507661,35586
CHKP,80.8,1439766507696,533556
GTLS,24.72,1439766507714,308120
CHEK,3.33,1439766507790,2931
CCXI,6.53,1439766508037,75187
CEMI,4.74,1439766508062,3616
CHEKW,NULL,1439766508101,0
CHKE,27.96,1439766508136,14705
CHMG,26.65,1439766508201,17
CHMA,28.7,1439766508246,281053
CHFC,32.92,1439766508268,29124
CHEV,14.8,1439766508331,883
PLCE,59.59,1439766508399,156707
CBNK,16.82,1439766508427,138
CADC,NULL,1439766508454,0
CMRX,49.98,1439766508532,186569
CAAS,6.73,1439766508597,32872
CBAK,2.48,1439766508637,5531
CALI,1.02,1439766508673,5147
CBPO,109.63,1439766508804,137138
CCCL,0.93,1439766508907,2179
HGSH,1.93,1439766509004,8547
JRJC,4.44,1439766509029,15373
CHOP,1.3,1439766509063,1815
CCCR,NULL,1439766509081,0
CJJD,2.25,1439766509163,29683
CHLN,1.39,1439766509181,6811
CHNR,2.0101,1439766509217,110
CNIT,1.82,1439766509270,81629
HTHT,24.6555,1439766509350,77339
CREG,0.77,1439766509380,22815
CPGI,6.99,1439766509484,1372
CSUN,1.54,1439766509506,16327
CXDC,6.25,1439766509638,21845
CNTF,0.95,1439766509666,26649
CCIH,9.79,1439766509715,32972
CNYD,3.41,1439766509741,401
CNET,0.824,1439766509843,12696
IMOS,15.8765,1439766509870,87325
CHSCM,26.36,1439766509894,14485
CHSCL,27.15,1439766509917,17402
