APRI,$1.19,1439683820748,45007
APTO,$5.26,1439683820796,1382
AQMS,$5.44,1439683820862,36756
AQXP,$22.25,1439683820987,2857817
ARDM,$7.49,1439683821119,164
AUMA,$9.75,1439683821167,1486
ABUS,$8.4978,1439683821251,297770
PETX,$16.98,1439683821366,171169
ARCW,$3.74,1439683821380,6686
ABIO,$0.92,1439683821437,222980
AUMAW,$0.27,1439683821465,9600
RKDA,$4.69,1439683821483,10701
ARCB,$32.61,1439683821592,134416
ACGL,$73.4547,1439683821613,200784
ARNA,$3.397,1439683821830,1055655
ARCC,$16.14,1439683821845,687294
ACAT,$30,1439683821870,78303
AGII,$57.86,1439683821902,79188
ARDX,$18.91,1439683821931,59867
ARGS,$4.21,1439683821976,14978
AGIIL,$25.37,1439683822039,3309
ARIS,$3.32,1439683822206,300
ARIA,$7.27,1439683822228,1332183
ARKR,$25.4,1439683822262,116
ARTX,$1.57,1439683822297,104073
ARMH,$42.47,1439683822319,10028759
ARWAU,$10.11,1439683822630,1334
ARRY,$5.7,1439683822687,635862
ARQL,$1.69,1439683822697,44695
ARRS,$27.5836,1439683822781,439421
AROW,$27.56,1439683822863,9694
DWAT,$10.4642,1439683822939,1950
ARWR,$5.52,1439683823009,981689
ARTNA,$22.38,1439683823025,13665
ARTW,$4.5,1439683823066,2770
ASND,$17.02,1439683823108,67219
ASNA,$12.36,1439683823144,725469
ASBB,$24.82,1439683823161,232
ASCMA,$29.02,1439683823328,105505
ASTI,$0.22,1439683823417,731544
ASMI,$38.99,1439683823508,1156
APWC,$2.0912,1439683823528,1000
ASML,$92.69,1439683823565,1154458
AZPN,$37.65,1439683823654,2950503
ASMB,$13.28,1439683823731,51498
ASTE,$38.59,1439683823747,65215
ATRO,$60.31,1439683823838,151389
ASFI,$9.14,1439683823857,11702
ALOT,$13.89,1439683823945,1069
ASTC,$2.39,1439683823973,9367
ASUR,$6.07,1439683824014,5246
ATAI,$3.19,1439683824040,8015
ATHN,$138.1303,1439683824309,123936
ATRA,$47.18,1439683824369,101591
ATHX,$1.19,1439683824406,84041
AFCB,$28,1439683824423,518
AAPC,$10.17,1439683824534,21
ACFC,$6.1,1439683824636,67949
AAME,$3.59,1439683824655,4202
AAWW,$45.06,1439683824794,109644
ATNI,$74.13,1439683824812,33722
AFH,$17,1439683824850,26478
ATRC,$26.46,1439683824873,83571
ATOS,$0.98,1439683824894,56888
ATLC,$3.98,1439683824913,1571
ATML,$7.81,1439683824981,2155297
ATRI,$407,1439683825199,1781
LIFE,$14.33,1439683825294,25342
ATRM,$3.07,1439683825313,908
ATTU,$14.58,1439683825332,48192
AUBN,$27.14,1439683825357,130
AUPH,$3.42,1439683825459,11765
ADAT,$0.1051,1439683825547,43263
AUDC,$3.18,1439683825586,91957
EARS,$5.04,1439683825676,6000
ABTL,$19.79,1439683825699,170648
ADSK,$54.86,1439683825718,665236
AVNU,$13.1,1439683825785,284
AAVL,$10.03,1439683825822,3871799
AVGO,$122.2,1439683825937,1569400
ADP,$82.8833,1439683825949,1297619
AVNW,$1.14,1439683826237,63992
AVEO,$1.17,1439683826328,377529
CAR,$44.07,1439683826351,1131755
AVGR,$15.46,1439683826370,32693
ACLS,$3.21,1439683826381,292850
AXGN,$3.78,1439683826454,11354
AWRE,$3.23,1439683826493,8828
AXPW,$1.19,1439683826608,138494
AVID,$9.15,1439683826779,308546
AXTI,$2.21,1439683826803,24702
BCOM,$19.49,1439683826823,456
RILY,$10,1439683826840,2210
BOSC,$2.24,1439683826970,4700
BEAV,$51.17,1439683827018,283649
BIDU,$164.65,1439683827101,2586841
BCPC,$60.4,1439683827144,113481
BWINA,$23.35,1439683827222,300
BANF,$62.967,1439683827257,9943
BWINB,$23.34,1439683827286,5299
BLDP,$1.34,1439683827355,164191
BKMU,$7.35,1439683827501,42685
BMRC,$48.09,1439683827589,12032
BOCH,$5.8,1439683827615,7263
BKSC,$15.97,1439683827646,2380
OZRK,$43.87,1439683827742,189645
BFIN,$12.3,1439683827868,13153
BOTJ,$11.18,1439683827934,1114
BZUN,$7.73,1439683828006,69178
TAPR,$31.71,1439683828030,1155
BWFG,$18.28,1439683828045,526
BANR,$47.94,1439683828064,34342
BHACW,$0.1301,1439683828386,223
BBSI,$37.64,1439683828429,41946
BSET,$31.45,1439683828466,35614
BYBK,$5.11,1439683828486,5086
BBCN,$15.55,1439683828704,167531
BV,$5.38,1439683828739,155355
BYLK,$12.94,1439683828845,1864
BCBP,$11.71,1439683828868,3158
BECN,$36.2544,1439683828879,195135
BDCV,$5.03,1439683828906,688
BSF,$9.11,1439683828924,13169
BBGI,$4.94,1439683829048,544
BBBY,$63.18,1439683829134,1178399
BEBE,$1.85,1439683829221,90320
BELFA,$17.18,1439683829286,18
BELFB,$20.13,1439683829334,31899
BLPH,$4.06,1439683829411,30581
BNCL,$12.87,1439683829514,173559
BLCM,$18.48,1439683829526,194850
