BCBP,$11.71,1439681722538,[u'3,158']
BSET,$31.45,1439681722584,[u'35,614']
BBCN,$15.55,1439681722681,[u'167,531']
BDCV,$5.03,1439681722707,[u'688']
BECN,$36.2544,1439681722718,[u'195,135']
BSF,$9.11,1439681722883,[u'13,169']
BBGI,$4.94,1439681722948,[u'544']
BEBE,$1.85,1439681723016,[u'90,320']
BBBY,$63.18,1439681723035,[u'1,178,399']
BELFA,$17.18,1439681723105,[u'18']
BELFB,$20.13,1439681723186,[u'31,899']
BLCM,$18.48,1439681723236,[u'194,850']
BLPH,$4.06,1439681723293,[u'30,581']
BNFT,$38.23,1439681723355,[u'290,873']
BNTC,NULL,1439681723386,[]
BGCP,$9.59,1439681723406,[u'448,030']
BNCL,$12.87,1439681723446,[u'173,559']
BGMD,$0.8211,1439681723457,[u'323,491']
ORPN,$5.45,1439681723681,[u'13,788']
BIND,$4.43,1439681723716,[u'24,590']
BGFV,$11.09,1439681723769,[u'44,403']
BASI,$1.79,1439681723811,[u'3,070']
BCDA,NULL,1439681723881,[]
BIOC,$1.85,1439681723924,[u'194,442']
BCRX,$11.68,1439681723957,[u'517,381']
BIOD,$0.7316,1439681724031,[u'685,384']
BDSI,$6.6,1439681724138,[u'832,542']
BMRN,$134.51,1439681724224,[u'440,002']
BIIB,$311,1439681724261,[u'1,139,650']
BIOL,$1.62,1439681724308,[u'13,674']
BLFS,$2.16,1439681724327,[u'266,859']
BLRX,$1.51,1439681724385,[u'57,510']
BVXV,$4.25,1439681724485,[u'2,802']
BVXVW,NULL,1439681724500,[]
BRLI,$35.45,1439681724638,[u'176,022']
BBC,$32.17,1439681724704,[u'13,726']
BPTH,$1.18,1439681724753,[u'50,108']
BIOS,$1.35,1439681724837,[u'2,048,445']
BSTC,$51.19,1439681724864,[u'57,413']
BSPM,$0.68,1439681724877,[u'51,823']
BBP,$33.75,1439681724900,[u'25,634']
BOTA,$2.33,1439681725007,[u'16,624']
TECH,$105.65,1439681725176,[u'57,393']
BEAT,$11.62,1439681725205,[u'77,838']
BITI,$19.31,1439681725226,[u'49,440']
BDMS,$13.2,1439681725250,[u'6']
BBOX,$15.86,1439681725311,[u'63,754']
BJRI,$46.18,1439681725333,[u'155,592']
BLKB,$62.98,1439681725470,[u'108,814']
BDE,$7.43,1439681725685,[u'150,675']
HAWK,$43.5,1439681725729,[u'241,541']
BBRY,$7.6,1439681725782,[u'1,853,462']
ADRA,$28.75,1439681725812,[u'3,946']
BKCC,$9.51,1439681725849,[u'235,395']
ADRU,$23.2666,1439681725951,[u'934']
ADRD,$23.44,1439681726024,[u'402']
BLMN,$21.66,1439681726048,[u'654,740']
ADRE,$31.45,1439681726064,[u'17,219']
BCOR,$13.83,1439681726208,[u'105,205']
BBLU,$0.9223,1439681726260,[u'105,042']
BLBD,$12.93,1439681726369,[u'3,084']
NILE,$34.68,1439681726380,[u'70,839']
BUFF,$26.87,1439681726401,[u'821,531']
BHBK,$14.5,1439681726448,[u'28,477']
BLUE,$127.26,1439681726546,[u'483,144']
BOBE,$46.61,1439681726820,[u'55,212']
BNCN,$21.89,1439681726850,[u'88,290']
BKEPP,$7.89,1439681726863,[u'27']
BPMC,$26.55,1439681726882,[u'75,584']
BOFI,$128.5,1439681726911,[u'140,173']
BKEP,$6.78,1439681726922,[u'25,111']
BOJA,$20.84,1439681726972,[u'349,611']
BOKF,$66.3333,1439681727058,[u'37,770']
BPFH,$12.46,1439681727275,[u'160,742']
BONA,$11.85,1439681727287,[u'57,249']
BNSO,$1.72,1439681727332,[u'81,525']
BPFHP,$25.58,1439681727378,[u'1,527']
WIFI,$9.07,1439681727390,[u'209,485']
BAMM,$3.22,1439681727410,[u'9,700']
BPFHW,NULL,1439681727693,[]
BCLI,$2.88,1439681727740,[u'86,912']
BBRG,$12.89,1439681727823,[u'82,949']
BDBD,$8.99,1439681727854,[u'313,922']
EPAY,$26.1,1439681727885,[u'94,035']
BBEP,$2.8015,1439681727926,[u'1,250,490']
BDGE,$28.06,1439681727989,[u'39,505']
BBEPP,$14.39,1439681728055,[u'49,326']
BRID,$8.14,1439681728217,[u'888']
BSFT,$34.34,1439681728263,[u'62,708']
BRCM,$50.5,1439681728275,[u'1,594,297']
BCOV,$5.53,1439681728325,[u'65,235']
BVSN,$6.02,1439681728395,[u'16,148']
BWEN,$3.56,1439681728472,[u'29,481']
BYFC,$1.37,1439681728529,[u'576']
BRCD,$10.1084,1439681728635,[u'1,356,271']
BRKL,$10.8,1439681728655,[u'155,821']
BRKR,$20.14,1439681728703,[u'259,738']
BRKS,$11.06,1439681728803,[u'141,610']
BMTC,$29.83,1439681728884,[u'50,947']
BSQR,$7.28,1439681728907,[u'739,972']
BLMT,$21.22,1439681729077,[u'5,561']
BWLD,$195.84,1439681729293,[u'161,440']
BLDR,$14.2717,1439681729351,[u'535,234']
CFFI,$36.65,1439681729513,[u'5,286']
CCMP,$45.71,1439681729550,[u'93,512']
BUR,$2.02,1439681729566,[u'1,200']
CA,$29.339,1439681729624,[u'1,039,559']
CDNS,$21.3859,1439681729746,[u'1,028,237']
CHRW,$69.4,1439681729775,[u'431,828']
CACQ,$7.18,1439681729855,[u'37,061']
CDZI,$7.42,1439681729895,[u'50,224']
CZR,$7.36,1439681729911,[u'472,177']
CSTE,$50.1161,1439681729948,[u'463,560']
CLBS,$1.4,1439681730090,[u'196,556']
CLMS,$11.78,1439681730190,[u'71,313']
PRSS,$4.8,1439681730222,[u'23,855']
CHY,$11.91,1439681730319,[u'179,045']
CCD,$20.6,1439681730365,[u'57,503']
CHI,$11.13,1439681730431,[u'197,498']
CGO,$12.79,1439681730553,[u'20,918']
CFGE,NULL,1439681730581,[]
CAMP,$16.59,1439681730608,[u'205,986']
CSQ,$10.56,1439681730683,[u'251,640']
CVGW,$53,1439681730718,[u'95,587']
CHW,$8.12,1439681730755,[u'136,951']
CALD,$16.56,1439681730904,[u'145,443']
CALA,$5.33,1439681730939,[u'317,892']
CFNB,$13.47,1439681730967,[u'24']
CALM,$52,1439681730994,[u'480,182']
CLMT,$26.37,1439681731165,[u'233,743']
CAMBU,NULL,1439681731482,[]
CAMBW,NULL,1439681731508,[]
ABCD,$4.45,1439681731540,[u'60,248']
CAMT,$2.83,1439681731562,[u'9,466']
CAC,$40.42,1439681731589,[u'6,646']
CSIQ,$24.71,1439681731623,[u'990,174']
CAMB,NULL,1439681731639,[]
CGIX,$11.09,1439681731931,[u'25,176']
CPLA,$49.93,1439681732021,[u'58,767']
CBF,$30.2,1439681732041,[u'33,918']
CPLP,$7.22,1439681732087,[u'319,847']
CPHC,$10.7,1439681732155,[u'2,295']
CBNJ,$10.87,1439681732191,[u'10,059']
CCBG,$15.19,1439681732218,[u'8,373']
CPTA,$15.25,1439681732550,[u'51,575']
CAPR,$4.12,1439681732608,[u'35,784']
CFFN,$12.19,1439681732632,[u'193,120']
