MCBC,$5.3,1439676510927
MFNC,$10.745,1439676510985
MGNX,$30.82,1439676511033
MCBK,NULL,1439676511054
MGLN,$58.05,1439676511102
MAGS,$4.12,1439676511175
MGIC,$6.77,1439676511302
MNGA,$1.03,1439676511373
MPET,$2.04,1439676511420
MAG,$49.91,1439676511440
CALL,$8.7,1439676511518
MHLD,$16.39,1439676511543
MGYR,$10.03,1439676511644
MSFG,$21.52,1439676511680
MHLDO,NULL,1439676511716
COOL,$1.44,1439676511949
MLVF,$15.8,1439676512044
MBUU,$19.03,1439676512086
MAMS,$6.15,1439676512125
MMYT,$13.2315,1439676512149
MANH,$65.39,1439676512215
MNTX,$6.74,1439676512305
LOAN,$3.78,1439676512322
MTEX,$18.84,1439676512506
MARA,$3.1,1439676512524
MANT,$28.72,1439676512563
MNKD,$4.08,1439676512590
MCHX,$4.16,1439676512623
MARPS,$6.1,1439676512653
MKTX,$96.38,1439676512906
MRNS,$15.17,1439676512923
MRKT,$29.114,1439676512976
MKTO,$29.35,1439676513044
MRTN,$19.09,1439676513165
MAR,$71.8525,1439676513193
MRLN,$13.83,1439676513216
MBII,$1.95,1439676513276
MRVL,$12.43,1439676513326
MASI,$42.7,1439676513380
MMLP,$28.34,1439676513404
MTLS,$8.1,1439676513424
MAT,$23.0872,1439676513530
MTRX,$20.53,1439676513611
MATR,$6.35,1439676513671
MATW,$53.36,1439676513699
MFRM,$62.86,1439676513860
MZOR,$12.94,1439676514004
MTSN,$2.67,1439676514030
MBFIP,$26.87,1439676514057
MBFI,$33.65,1439676514089
MXIM,$33.9069,1439676514118
MXWL,$5.24,1439676514155
MCFT,$16.175,1439676514184
MCGC,$4.36,1439676514370
MCOX,$3.3,1439676514419
MDCA,$19.41,1439676514444
MGRC,$26.14,1439676514469
TAXI,$8.16,1439676514587
MDAS,$21.58,1439676514757
MDSO,$52.59,1439676514849
MTBC,$2.26,1439676514897
MDGS,NULL,1439676514932
MDWD,$7.01,1439676514956
MNOV,$3.61,1439676514974
MDVN,$98.99,1439676515008
MDVXW,NULL,1439676515117
MDVX,$2.74,1439676515266
MEET,$1.59,1439676515315
MEIP,$1.6,1439676515429
MELR,$14.45,1439676515458
MPEL,$21.94,1439676515491
MLNX,$42.6314,1439676515514
MELA,$1.14,1439676515541
MEMP,$6.79,1439676515721
MTSL,$1.48,1439676515750
MRD,$19.35,1439676515770
MBWM,$20.59,1439676515903
MELI,$119.75,1439676515962
MENT,$26.21,1439676516014
MERC,$11.3669,1439676516040
MBVT,$29.08,1439676516077
MRCY,$16.02,1439676516323
EBSB,$12.75,1439676516343
MRGE,$7.11,1439676516363
VIVO,$18.18,1439676516394
MMSI,$24.69,1439676516481
MSLI,$1.88,1439676516552
MACK,$10.56,1439676516565
CASH,$48.45,1439676516740
MLAB,$115.71,1439676516770
MEOH,$44.58,1439676516838
MBLX,$2.64,1439676516868
MEILW,NULL,1439676516981
MEIL,$0.34,1439676517024
MFRI,$5.52,1439676517137
METR,$29.99,1439676517161
MEILZ,NULL,1439676517227
MGCD,$5.28,1439676517282
MGEE,$40.14,1439676517298
MCHP,$43.29,1439676517403
MGPI,$15.96,1439676517428
MICT,$2.96,1439676517569
MU,$16.99,1439676517667
MSTR,$218.8,1439676517787
MICTW,NULL,1439676517807
MSCC,$33.38,1439676517826
MVIS,$3.06,1439676517878
MSFT,$47.097,1439676517899
MPB,$16.45,1439676517944
MCEP,$2.99,1439676518063
MBRG,$18.34,1439676518125
MOFG,$31.47,1439676518322
MSEX,$23.24,1439676518351
MBCN,$32,1439676518418
MDXG,$9.34,1439676518449
MNDO,$2.71,1439676518506
MB,$12.33,1439676518734
NERV,$5.63,1439676518806
MSON,$9.39,1439676518868
MITK,$3.63,1439676518892
MIND,$4.4,1439676518924
MRTX,$22.5,1439676518944
MITL,$7.96,1439676519000
MMAC,$13.55,1439676519014
MKSI,$35.44,1439676519108
MOBL,$4.69,1439676519279
MINI,$34.79,1439676519300
MDSY,$1.55,1439676519413
MOLG,$1.14,1439676519460
MOCO,$13.81,1439676519476
MLNK,$3.16,1439676519494
MOKO,$3.65,1439676519610
MOMO,$16.0127,1439676519644
MNRK,$13.18,1439676519682
MCRI,$18.56,1439676519760
MNTA,$21.67,1439676519798
MDLZ,$46.49,1439676519893
MGI,$10.14,1439676519998
TYPE,$23.37,1439676520030
MPWR,$50.89,1439676520049
MNRO,$66.33,1439676520169
MRCC,$14.96,1439676520207
MNST,$150.41,1439676520275
MHGC,$5,1439676520361
MOSY,$1.49,1439676520385
MPAA,$31.62,1439676520500
MDM,$3.24,1439676520868
MORN,$84.3369,1439676520887
MRVC,$16.94,1439676521369
MSBF,$11.66,1439676521518
MTSC,$64.82,1439676521569
LABL,$68.81,1439676521693
MYOS,$3.04,1439676521949
MFSF,$23.96,1439676521995
MYRG,$29.54,1439676522016
MYGN,$33.863,1439676522077
MFLX,$18.09,1439676522097
MYL,$54.4,1439676522117
NSPH,$2.31,1439676522181
NANO,$14.35,1439676522280
NSTG,$14.88,1439676522346
NK,$22.58,1439676522392
NTRA,$15.76,1439676522419
NSSC,$5.95,1439676522449
NAUH,$2.83,1439676522497
NATH,$36.3,1439676522566
NKSH,$31.97,1439676522630
FIZZ,$25,1439676522844
NGHCP,$24.9,1439676522993
NGHC,$19.76,1439676523033
NHLD,$3.47,1439676523051
NCOM,$24.94,1439676523074
NGHCO,$24.98,1439676523100
NATI,$29.41,1439676523114
NCMI,$14.7,1439676523147
NATL,$27.98,1439676523182
NRCIB,$33.55,1439676523383
NRCIA,$13.26,1439676523404
NSEC,$13.24,1439676523518
NWLI,$236.5,1439676523531
NPBC,$10.95,1439676523576
NAII,$5.94,1439676523699
NHTC,$30.23,1439676523726
NVSL,$10.75,1439676523801
NAVI,$14.763,1439676523859
BABY,$44.83,1439676523891
NATR,$12.94,1439676523905
NBTB,$26.75,1439676523992
