TFSC,NULL,1439682002766,[]
AINV,$6.7571,1439682014444,[u'1,466,887']
APPF,$16.75,1439682014504,[u'25,821']
AAPL,$116.14,1439682014597,[u'24,640,968']
ARCI,$1.36,1439682014661,[u'543']
APDN,$3.37,1439682014709,[u'80,801']
APDNW,$1.29,1439682014739,[u'2,500']
AGTC,$15.64,1439682014784,[u'42,383']
AMAT,$16.64,1439682014840,[u'24,370,499']
AMCC,$5.85,1439682014863,[u'944,701']
AAOI,$22.11,1439682014920,[u'229,080']
APRI,$1.19,1439682015085,[u'45,007']
AREX,$2.69,1439682015102,[u'237,180']
APTO,$5.26,1439682015218,[u'1,382']
AQMS,$5.44,1439682015246,[u'36,756']
AQXP,$22.25,1439682015289,[u'2,857,817']
AUMA,$9.75,1439682015452,[u'1,486']
AUMAU,NULL,1439682015529,[]
AUMAW,$0.27,1439682015566,[u'9,600']
ARDM,$7.49,1439682015659,[u'164']
ABUS,$8.4978,1439682015704,[u'297,770']
PETX,$16.98,1439682015730,[u'171,169']
ARCW,$3.74,1439682015786,[u'6,686']
ABIO,$0.92,1439682015826,[u'222,980']
RKDA,$4.69,1439682015867,[u'10,701']
ARCB,$32.61,1439682016026,[u'134,416']
ACGL,$73.4547,1439682016060,[u'200,784']
ACAT,$30,1439682016100,[u'78,303']
ARCC,$16.14,1439682016229,[u'687,294']
ARNA,$3.397,1439682016268,[u'1,055,655']
ARDX,$18.91,1439682016291,[u'59,867']
ARGS,$4.21,1439682016361,[u'14,978']
AGII,$57.86,1439682016398,[u'79,188']
ARIS,$3.32,1439682016476,[u'300']
AGIIL,$25.37,1439682016550,[u'3,309']
ARIA,$7.27,1439682016579,[u'1,332,183']
ARMH,$42.47,1439682016618,[u'10,028,759']
ARKR,$25.4,1439682016667,[u'116']
ARTX,$1.57,1439682016741,[u'104,073']
ARWA,NULL,1439682016765,[]
ARWAR,NULL,1439682016855,[]
ARWAU,$10.11,1439682016963,[u'1,334']
ARWAW,NULL,1439682017035,[]
ARRY,$5.7,1439682017115,[u'635,862']
ARQL,$1.69,1439682017142,[u'44,695']
ARRS,$27.5836,1439682017198,[u'439,421']
DWAT,$10.4642,1439682017229,[u'1,950']
ARWR,$5.52,1439682017326,[u'981,689']
ARTNA,$22.38,1439682017371,[u'13,665']
AROW,$27.56,1439682017422,[u'9,694']
ARTW,$4.5,1439682017524,[u'2,770']
ASND,$17.02,1439682017562,[u'67,219']
ASBB,$24.82,1439682017620,[u'232']
ASNA,$12.36,1439682017650,[u'725,469']
ASCMA,$29.02,1439682017755,[u'105,505']
ASTI,$0.22,1439682017782,[u'731,544']
ASMI,$38.99,1439682017917,[u'1,156']
APWC,$2.0912,1439682017945,[u'1,000']
ASML,$92.69,1439682018001,[u'1,154,458']
ASMB,$13.28,1439682018035,[u'51,498']
AZPN,$37.65,1439682018071,[u'2,950,503']
ASFI,$9.14,1439682018178,[u'11,702']
ASTE,$38.59,1439682018218,[u'65,215']
ATRO,$60.31,1439682018310,[u'151,389']
ASTC,$2.39,1439682018334,[u'9,367']
ALOT,$13.89,1439682018391,[u'1,069']
ATAI,$3.19,1439682018491,[u'8,015']
ATRA,$47.18,1439682018517,[u'101,591']
ASUR,$6.07,1439682018536,[u'5,246']
ATHN,$138.1303,1439682018591,[u'123,936']
ATHX,$1.19,1439682018690,[u'84,041']
AFCB,$28,1439682018710,[u'518']
AAPC,$10.17,1439682018790,[u'21']
ACFC,$6.1,1439682018882,[u'67,949']
AAME,$3.59,1439682018902,[u'4,202']
ATNI,$74.13,1439682018948,[u'33,722']
AFH,$17,1439682019013,[u'26,478']
ATLC,$3.98,1439682019037,[u'1,571']
AAWW,$45.06,1439682019057,[u'109,644']
ATML,$7.81,1439682019116,[u'2,155,297']
ATOS,$0.98,1439682019173,[u'56,888']
ATRC,$26.46,1439682019259,[u'83,571']
ATRI,$407,1439682019326,[u'1,781']
ATTU,$14.58,1439682019394,[u'48,192']
ATRM,$3.07,1439682019416,[u'908']
LIFE,$14.33,1439682019436,[u'25,342']
AUDC,$3.18,1439682019562,[u'91,957']
AUBN,$27.14,1439682019600,[u'130']
AUPH,$3.42,1439682019665,[u'11,765']
EARS,$5.04,1439682019703,[u'6,000']
ADAT,$0.1051,1439682019733,[u'43,263']
ABTL,$19.79,1439682019754,[u'170,648']
ADSK,$54.86,1439682019774,[u'665,236']
AVGO,$122.2,1439682019869,[u'1,569,400']
ADP,$82.8833,1439682019975,[u'1,297,619']
AAVL,$10.03,1439682020019,[u'3,871,799']
AVNU,$13.1,1439682020039,[u'284']
AVEO,$1.17,1439682020086,[u'377,529']
AVNW,$1.14,1439682020178,[u'63,992']
AVID,$9.15,1439682020258,[u'308,546']
AVGR,$15.46,1439682020315,[u'32,693']
AXPW,$1.19,1439682020336,[u'138,494']
CAR,$44.07,1439682020357,[u'1,131,755']
AWRE,$3.23,1439682020390,[u'8,828']
ACLS,$3.21,1439682020447,[u'292,850']
AXGN,$3.78,1439682020514,[u'11,354']
AXPWW,NULL,1439682020530,[]
BCOM,$19.49,1439682020951,[u'456']
AXTI,$2.21,1439682020969,[u'24,702']
RILY,$10,1439682020981,[u'2,210']
BOSC,$2.24,1439682020992,[u'4,700']
BIDU,$164.65,1439682021277,[u'2,586,841']
BCPC,$60.4,1439682021305,[u'113,481']
BEAV,$51.17,1439682021320,[u'283,649']
BWINA,$23.35,1439682021353,[u'300']
BWINB,$23.34,1439682021384,[u'5,299']
BLDP,$1.34,1439682021395,[u'164,191']
BANFP,NULL,1439682021425,[]
BANF,$62.967,1439682021441,[u'9,943']
BOCH,$5.8,1439682021711,[u'7,263']
BKMU,$7.35,1439682021733,[u'42,685']
BKSC,$15.97,1439682021753,[u'2,380']
BMRC,$48.09,1439682021857,[u'12,032']
OZRK,$43.87,1439682021868,[u'189,645']
BOTJ,$11.18,1439682021893,[u'1,114']
BFIN,$12.3,1439682021940,[u'13,153']
TAPR,$31.71,1439682022123,[u'1,155']
BWFG,$18.28,1439682022142,[u'526']
BZUN,$7.73,1439682022166,[u'69,178']
BHAC,NULL,1439682022195,[]
BANR,$47.94,1439682022239,[u'34,342']
BHACR,NULL,1439682022255,[]
BHACU,NULL,1439682022351,[]
BHACW,$0.1301,1439682022553,[u'223']
BBSI,$37.64,1439682022574,[u'41,946']
BYBK,$5.11,1439682022676,[u'5,086']
BSET,$31.45,1439682022707,[u'35,614']
BYLK,$12.94,1439682022744,[u'1,864']
BBCN,$15.55,1439682022838,[u'167,531']
BCBP,$11.71,1439682022887,[u'3,158']
BV,$5.38,1439682022940,[u'155,355']
BECN,$36.2544,1439682022960,[u'195,135']
BSF,$9.11,1439682023025,[u'13,169']
BDCV,$5.03,1439682023057,[u'688']
BBGI,$4.94,1439682023068,[u'544']
BEBE,$1.85,1439682023090,[u'90,320']
BBBY,$63.18,1439682023186,[u'1,178,399']
BELFA,$17.18,1439682023285,[u'18']
BELFB,$20.13,1439682023344,[u'31,899']
BLCM,$18.48,1439682023497,[u'194,850']
