TFSC,NULL,1439682002766,[]
GNCA,$13.01,1439682073737,[u'326,010']
GHDX,$24.85,1439682073880,[u'126,615']
THRM,$48.66,1439682073910,[u'162,168']
GNVC,$2.45,1439682073921,[u'9,948']
GNTX,$15.6781,1439682073949,[u'573,358']
GTWN,$18.34,1439682073969,[u'7']
GEOS,$15.73,1439682074000,[u'89,905']
GABC,$29.38,1439682074111,[u'6,654']
GERN,$3.08,1439682074248,[u'1,309,900']
GEVO,$2.17,1439682074275,[u'245,325']
GIGM,$0.653,1439682074305,[u'3,820']
ROCK,$18.72,1439682074325,[u'135,108']
GIII,$69.71,1439682074362,[u'195,510']
GIGA,$1.52,1439682074383,[u'156,769']
GILT,$4.54,1439682074491,[u'9,192']
GILD,$115.747,1439682074704,[u'3,359,438']
GLAD,$8.23,1439682074739,[u'30,844']
GBCI,$28.12,1439682074787,[u'192,448']
GLADO,$25.59,1439682074874,[u'3,490']
GOODO,NULL,1439682074894,[]
GOODN,NULL,1439682074932,[]
GOODP,$25.4,1439682074954,[u'887']
GOOD,$15.94,1439682074973,[u'72,728']
GAINO,$25.56,1439682075091,[u'3,380']
GAIN,$7.96,1439682075125,[u'83,436']
GAINN,$25.23,1439682075145,[u'21,802']
GAINP,$26.05,1439682075271,[u'500']
GLBZ,$11.72,1439682075284,[u'1,500']
LAND,$9.61,1439682075313,[u'9,915']
GBT,$45.69,1439682075339,[u'212,872']
GDEF,NULL,1439682075450,[]
ENT,$12.15,1439682075618,[u'101,376']
ACTX,$14.1325,1439682075702,[u'1,700']
GPACU,$10.05,1439682075729,[u'12,500']
GSOL,$8.53,1439682075764,[u'17,397']
GBLI,$27.28,1439682075790,[u'7,555']
QQQC,$21.61,1439682075805,[u'2,230']
SRET,$13.89,1439682076125,[u'800']
ALTY,$14.9103,1439682076144,[u'300']
SOCL,$18.74,1439682076164,[u'21,579']
GAI,$5.58,1439682076187,[u'2,291']
GSM,$14.08,1439682076214,[u'187,331']
YLCO,$12.28,1439682076232,[u'9,000']
GLBS,$1.0792,1439682076304,[u'1,000']
GBIM,$2.48,1439682076341,[u'58,881']
GLUU,$4.65,1439682076535,[u'1,235,779']
GLRI,$1.2,1439682076556,[u'16,544']
GLYC,$7.56,1439682076576,[u'4,076']
GLNG,$37.9,1439682076670,[u'1,486,121']
GLDC,$4.2,1439682076748,[u'969']
GOGO,$16.57,1439682076773,[u'301,365']
GMLP,$20.6,1439682076793,[u'92,777']
GDEN,$9.26,1439682076813,[u'71,555']
GBDC,$16.51,1439682076925,[u'70,183']
GOGL,$3.6,1439682076962,[u'293,077']
GTIM,$7.31,1439682077001,[u'59,096']
GOOG,$658,1439682077086,[u'575,936']
GOOGL,$688.97,1439682077126,[u'671,519']
GPRO,$58.85,1439682077150,[u'2,051,150']
GPIA,NULL,1439682077369,[]
GMAN,$4.57,1439682077385,[u'18,771']
GPIAW,NULL,1439682077483,[]
GPIAU,NULL,1439682077506,[]
LOPE,$39.22,1439682077555,[u'198,309']
GBSN,$2.45,1439682077602,[u'49,787']
GRVY,$3.4,1439682077638,[u'1,386']
GBSNU,NULL,1439682077725,[]
GNBC,$13.55,1439682077867,[u'30,706']
GLDD,$5.64,1439682077888,[u'120,267']
GSBC,$41.622,1439682077910,[u'17,920']
GPP,$14.9,1439682077935,[u'36,622']
GRBK,$14.12,1439682077957,[u'200,403']
GPRE,$23.42,1439682077969,[u'514,392']
GCBC,$28.4,1439682078177,[u'7']
GLRE,$26.59,1439682078211,[u'61,261']
GRIF,$30.89,1439682078276,[u'13']
GRPN,$4.33,1439682078346,[u'5,751,663']
GRFS,$32.33,1439682078399,[u'102,377']
OMAB,$42.61,1439682078419,[u'68,484']
GGAL,$20.76,1439682078448,[u'289,230']
GSIG,$13.51,1439682078547,[u'29,142']
GSIT,$5.01,1439682078584,[u'3,618']
GSVC,$9.52,1439682078631,[u'37,271']
GBNK,$16.2,1439682078694,[u'12,915']
GTXI,$0.9388,1439682078722,[u'16,950']
GFED,$15.05,1439682078769,[u'600']
GUID,$9.1,1439682078852,[u'37,035']
GULTU,$0.396,1439682078920,[u'44,593']
GIFI,$12.03,1439682079098,[u'28,149']
GURE,$1.935,1439682079159,[u'64,899']
GPOR,$35.97,1439682079179,[u'754,081']
GWPH,$111.18,1439682079236,[u'147,848']
GWGH,$7.76,1439682079272,[u'3,023']
GYRO,$2.89,1439682079283,[u'9,722']
HLG,$9.5,1439682079339,[u'3,800']
HEES,$17.38,1439682079360,[u'215,617']
HNRG,$7.58,1439682079457,[u'223,613']
HALO,$19.17,1439682079578,[u'1,172,702']
HALL,$11.29,1439682079607,[u'108,415']
HBHC,$29.13,1439682079651,[u'234,808']
HMPR,$2,1439682079672,[u'25,917']
HBK,$13.72,1439682079691,[u'14']
HBHCL,$24.66,1439682079804,[u'14,879']
HAFC,$25.83,1439682079946,[u'45,506']
HNSN,$0.52,1439682079986,[u'162,684']
HNH,$28.81,1439682080025,[u'4,444']
HDNG,$9.16,1439682080042,[u'19,906']
HLIT,$5.84,1439682080148,[u'347,527']
HRMN,NULL,1439682080178,[]
HQCL,$11.05,1439682080235,[u'6,718']
HRMNW,NULL,1439682080286,[]
HRMNU,NULL,1439682080308,[]
TINY,$2.6,1439682080377,[u'34,646']
HBIO,$4.53,1439682080519,[u'62,042']
HCAP,$12.26,1439682080577,[u'5,574']
HCAPL,NULL,1439682080616,[]
HAS,$80.7003,1439682080767,[u'315,783']
HWKN,$38.14,1439682080778,[u'21,598']
HA,$25.25,1439682080816,[u'565,564']
HCOM,$22.88,1439682080840,[u'19,700']
HWBK,$13.97,1439682080860,[u'1,264']
HAYN,$41,1439682080967,[u'59,498']
HDS,$34.89,1439682080979,[u'641,213']
HIIQ,$4.57,1439682081101,[u'23,455']
HCSG,$34.72,1439682081123,[u'121,815']
HQY,$32.71,1439682081181,[u'77,878']
HSTM,$25.74,1439682081230,[u'78,710']
HWAY,$12.46,1439682081266,[u'103,689']
HTLD,$21.36,1439682081447,[u'158,390']
HTBX,$5.6,1439682081516,[u'4,484']
HTWR,$87.48,1439682081548,[u'99,132']
HTLF,$37.86,1439682081578,[u'17,821']
HELE,$90.71,1439682081638,[u'73,392']
HMNY,$2.44,1439682081662,[u'700']
HSII,$20.15,1439682081685,[u'56,202']
HMTV,$13.34,1439682081718,[u'25,471']
HCACU,NULL,1439682081902,[]
HNNA,$23.4,1439682081954,[u'9,674']
HTBK,$11.06,1439682082055,[u'24,757']
HFWA,$18.37,1439682082080,[u'29,134']
HSIC,$145.1,1439682082130,[u'112,776']
HEOP,$8.01,1439682082227,[u'14,350']
HERO,$0.067,1439682082265,[u'3,719,112']
HCCI,$12.7,1439682082289,[u'19,633']
MLHR,$28.5366,1439682082404,[u'167,723']
HSKA,$34.01,1439682082432,[u'39,389']
HRTX,$29.6,1439682082453,[u'202,790']
HFFC,$16.62,1439682082475,[u'2,657']
HIMX,$6.81,1439682082651,[u'686,859']
HPJ,$2.73,1439682082670,[u'9,415']
HIHO,$3.9,1439682082692,[u'3,357']
HIBB,$41.35,1439682082713,[u'231,172']
HSGX,$6.65,1439682082871,[u'5,717']
HIFS,$119.8,1439682082974,[u'883']
HMNF,NULL,1439682083003,[]
HMSY,$9.35,1439682083050,[u'1,106,543']
HOMB,$41.19,1439682083077,[u'147,275']
HBCP,$24.8,1439682083088,[u'2,952']
HOLI,$19.2,1439682083148,[u'195,650']
HOLX,$42.45,1439682083187,[u'1,844,393']
HFBL,$21.7,1439682083256,[u'377']
AWAY,$30.73,1439682083356,[u'686,997']
HMIN,$29.2,1439682083426,[u'51,489']
HMST,$22.29,1439682083457,[u'27,869']
HTBI,$18.5,1439682083509,[u'21,498']
HKTV,$5.2,1439682083651,[u'13,236']
HOFT,$25.16,1439682083682,[u'13,206']
HFBC,$11.77,1439682083760,[u'2,956']
CETC,$1.04,1439682083788,[u'24,470']
HBNC,$24.85,1439682083809,[u'13,995']
HZNP,$30.5,1439682083835,[u'1,710,487']
HRZN,$11.13,1439682083846,[u'60,234']
ZINC,$8.76,1439682083870,[u'261,960']
HDP,$26.39,1439682083984,[u'157,063']
HMHC,$23.73,1439682084006,[u'334,341']
HWCC,$7.5,1439682084159,[u'64,761']
HOVNP,$5.44,1439682084278,[u'805']
HBMD,$13.61,1439682084311,[u'2,032']
HSNI,$63.4,1439682084358,[u'312,531']
HUBG,$42.07,1439682084385,[u'229,865']
HSON,$2.86,1439682084396,[u'9,208']
HTGM,$5.8,1439682084420,[u'10,834']
HBAN,$11.8024,1439682084478,[u'3,769,903']
HCBK,$10.3021,1439682084592,[u'591,458']
HTCH,$1.65,1439682084703,[u'92,024']
HBANP,$1356.9999,1439682084731,[u'77']
HURN,$75.5,1439682084750,[u'65,313']
HDSN,$3.21,1439682084767,[u'9,756']
HURC,$31.07,1439682084798,[u'10,077']
HBP,$3.15,1439682084809,[u'3,904']
HDRA,NULL,1439682084965,[]
HDRAR,NULL,1439682085091,[]
HDRAW,NULL,1439682085115,[]
HDRAU,NULL,1439682085131,[]
HYGS,$7.75,1439682085168,[u'29,742']
IDSY,$4.03,1439682085260,[u'17,495']
IACI,$74.71,1439682085289,[u'507,636']
ICFI,$35.33,1439682085475,[u'40,539']
ICAD,$3.53,1439682085493,[u'18,116']
IKGH,$1.7,1439682085504,[u'45,831']
IEP,$73.43,1439682085527,[u'37,117']
IBKC,$63.88,1439682085547,[u'58,280']
ICLR,$82.2992,1439682085588,[u'274,483']
ICON,$13.7284,1439682085644,[u'470,448']
IPWR,$7.77,1439682085777,[u'7,778']
ICUI,$121.81,1439682085799,[u'74,981']
INVE,$4.28,1439682086007,[u'203,309']
IDXX,$77.61,1439682086037,[u'188,942']
RXDX,$13.12,1439682086071,[u'115,181']
DSKY,$12.3,1439682086093,[u'218,302']
IROQ,$16.6,1439682086128,[u'1,037']
IDRA,$2.67,1439682086150,[u'986,147']
IRG,$4.57,1439682086184,[u'6,456']
IIVI,$17.84,1439682086204,[u'79,559']
IKNX,$11.49,1439682086409,[u'2,608']
ILMN,$208.07,1439682086420,[u'425,449']
KANG,$16.5124,1439682086449,[u'55,545']
IKAN,$2.73,1439682086481,[u'22,508']
ISNS,$4.23,1439682086563,[u'5,749']
IMMR,$12.49,1439682086585,[u'60,642']
ICCC,$9.31,1439682086800,[u'28,959']
IMGN,$13.58,1439682086863,[u'680,677']
IPXL,$45.17,1439682086928,[u'521,749']
IMDZ,$16.81,1439682086944,[u'195,833']
IMMY,$7.75,1439682086988,[u'10,631']
IMMU,$1.79,1439682087002,[u'446,939']
INCR,$44.47,1439682087053,[u'220,734']
SAAS,$8.1,1439682087081,[u'627,869']
INCY,$105.8,1439682087176,[u'389,232']
INDB,$48.15,1439682087307,[u'65,070']
IBCP,$14.61,1439682087345,[u'55,610']
IBTX,$43.82,1439682087402,[u'19,115']
IDSA,$3.86,1439682087420,[u'245']
INFN,$24.12,1439682087491,[u'550,469']
INFI,$9.2,1439682087539,[u'553,587']
IPCC,$78.38,1439682087674,[u'17,553']
IFON,$1.36,1439682087753,[u'196,818']
III,$4.34,1439682087812,[u'19,664']
IMKTA,$54.36,1439682087849,[u'88,040']
INWK,$7.9,1439682087871,[u'109,470']
INNL,$12.91,1439682087889,[u'2,803']
IPHS,$51.08,1439682088031,[u'381,707']
INOD,$2.61,1439682088062,[u'1,761']
IOSP,$46.32,1439682088108,[u'58,867']
INGN,$51.74,1439682088221,[u'143,426']
ISSC,$2.96,1439682088243,[u'7,455']
ITEK,$14.43,1439682088377,[u'812,982']
INOV,$21.48,1439682088398,[u'391,611']
INO,$7.2,1439682088479,[u'745,576']
NSIT,$26.63,1439682088499,[u'60,434']
ISIG,$2.58,1439682088519,[u'6,159']
INSM,$25.77,1439682088593,[u'221,129']
IIIN,$18.04,1439682088682,[u'29,408']
INSY,$34.96,1439682088763,[u'637,958']
NTEC,$6.1,1439682088801,[u'13,252']
PODD,$31.6,1439682088818,[u'343,174']
IART,$62.04,1439682088862,[u'187,161']
IDTI,$19.19,1439682088964,[u'1,335,570']
IESC,$7.09,1439682089002,[u'3,874']
ISSI,$22.24,1439682089098,[u'201,531']
IQNT,$17.85,1439682089149,[u'109,071']
IPCI,$2.28,1439682089213,[u'77,087']
INTC,$29.02,1439682089258,[u'9,436,038']
IPAR,$28.72,1439682089293,[u'61,744']
IBKR,$42.1984,1439682089435,[u'131,902']
ICPT,$212,1439682089479,[u'201,274']
ININ,$40.56,1439682089502,[u'50,231']
ICLDW,$0.97,1439682089525,[u'1,118']
ICLD,$1.82,1439682089548,[u'284,420']
IDCC,$49.76,1439682089627,[u'99,587']
TILE,$25.68,1439682089645,[u'418,781']
INAP,$8.82,1439682089811,[u'263,204']
IBOC,$27.49,1439682089869,[u'72,579']
ISCA,$33.29,1439682089927,[u'53,389']
IGLD,$7.5,1439682090038,[u'4,481']
PTNT,$3.09,1439682090055,[u'436']
IMI,$2.04,1439682090110,[u'36,780']
INPH,$0.325,1439682090136,[u'19,045']
IIJI,$10.16,1439682090197,[u'58']
XENT,$28.56,1439682090250,[u'71,941']
INTX,$2.5,1439682090263,[u'44,539']
ISIL,$10.95,1439682090289,[u'398,498']
IVAC,$5.17,1439682090381,[u'92,323']
IILG,$21.35,1439682090436,[u'127,927']
INTL,$29.26,1439682090474,[u'86,870']
INTLL,$25.67,1439682090556,[u'3,003']
ITCI,$29.57,1439682090672,[u'223,343']
IIN,$6.94,1439682090755,[u'546']
INTU,$105.62,1439682090796,[u'510,704']
INVT,$0.3,1439682090871,[u'50,440']
ISRG,$529.87,1439682090919,[u'73,358']
ISTR,$15.88,1439682090951,[u'850']
SNAK,$8.77,1439682090971,[u'102,194']
ITIC,$71.94,1439682090991,[u'7']
ISBC,$12.28,1439682091099,[u'1,679,483']
NVIV,$11.16,1439682091158,[u'228,686']
IVTY,$11.09,1439682091203,[u'5,232']
IPAS,$1.06,1439682091272,[u'34,059']
DTUL,NULL,1439682091295,[]
IPCM,$79.41,1439682091414,[u'98,711']
DFVL,NULL,1439682091453,[]
IPGP,$91.88,1439682091506,[u'411,210']
IRMD,$26.24,1439682091596,[u'10,706']
IRIX,$6.92,1439682091620,[u'9,200']
IRDM,$6.94,1439682091743,[u'417,101']
IRDMB,$271.5,1439682091785,[u'840']
IRBT,$31.47,1439682091807,[u'160,305']
IRWD,$11.525,1439682091836,[u'1,059,006']
IRCP,NULL,1439682091852,[]
COMT,$33.86,1439682091954,[u'8,294']
FCHI,$50.74,1439682091974,[u'974']
GNMA,$50.05,1439682092036,[u'2,581']
IFAS,$29.26,1439682092196,[u'100']
IFGL,$30.21,1439682092233,[u'238,404']
IFEU,$40.39,1439682092310,[u'3,595']
ACWI,$59.29,1439682092399,[u'277,873']
IFNA,$55.4,1439682092445,[u'5,572']
ACWX,$43.37,1439682092455,[u'132,073']
AAXJ,$57.07,1439682092491,[u'1,145,939']
AXJS,NULL,1439682092542,[]
AAIT,$31.02,1439682092561,[u'334']
EEMA,$53.77,1439682092736,[u'39,391']
EMDI,$47.89,1439682092767,[u'338']
EMEY,NULL,1439682092869,[]
EEME,NULL,1439682092923,[]
EGRW,$51.5,1439682092975,[u'173']
EEML,NULL,1439682092991,[]
EVAL,$37.85,1439682093068,[u'2,692']
EUFN,$23.28,1439682093162,[u'65,884']
IEUS,$47.69,1439682093182,[u'8,409']
QAT,NULL,1439682093215,[]
UAE,$19.68,1439682093272,[u'2,300']
EMIF,$30.56,1439682093387,[u'11,604']
SOXX,$85.55,1439682093407,[u'201,567']
IBB,$366.737,1439682093428,[u'621,903']
ICLN,$10.32,1439682093487,[u'21,437']
INDY,$30.13,1439682093648,[u'650,962']
WOOD,$51.26,1439682093685,[u'6,620']
ISHG,$78.93,1439682093769,[u'1,931']
ISIS,$50.05,1439682093786,[u'896,451']
IGOV,$90.43,1439682093854,[u'11,538']
ISLE,$18.79,1439682093889,[u'162,798']
ITRI,$33.58,1439682093926,[u'222,425']
ISRL,$138.85,1439682093943,[u'298']
ITUS,$3.99,1439682094113,[u'9,660']
ITRN,$25.96,1439682094147,[u'2,351']
XXIA,$15.76,1439682094167,[u'465,044']
IXYS,$11.08,1439682094219,[u'185,487']
JJSF,$118.66,1439682094254,[u'23,138']
MAYS,$58.25,1439682094373,[u'440']
JBHT,$80.35,1439682094463,[u'507,248']
JKHY,$71.2342,1439682094549,[u'170,405']
JCOM,$73.25,1439682094570,[u'113,265']
JXSB,$24.19,1439682094617,[u'18']
JACK,$87.48,1439682094628,[u'167,339']
JASO,$8.04,1439682094651,[u'641,972']
JAXB,$13.4,1439682094730,[u'1,205']
JAGX,$2.7,1439682094851,[u'7,038']
JAKK,$9.81,1439682094885,[u'362,698']
JMBA,$13.82,1439682094948,[u'139,771']
ERW,NULL,1439682095009,[]
JASN,$5.31,1439682095055,[u'4,057']
JRVR,$26.76,1439682095075,[u'43,338']
JASNW,$0.25,1439682095202,[u'2,001']
JAZZ,$184.46,1439682095308,[u'174,749']
JD,$28.1,1439682095325,[u'6,662,323']
JTPY,$2.97,1439682095370,[u'5,410']
JBLU,$24,1439682095390,[u'3,552,349']
JCTCF,$9.72,1439682095465,[u'3,572']
DATE,$6.58,1439682095515,[u'59,870']
WYIGU,$10.14,1439682095645,[u'129']
JIVE,$4.12,1439682095751,[u'292,670']
JOEZ,$0.19,1439682095777,[u'155,468']
JST,$4.4,1439682095788,[u'2,066']
JOUT,$24.81,1439682095824,[u'12,391']
JBSS,$48.38,1439682095882,[u'28,627']
JNP,$9.87,1439682095928,[u'15,984']
JUNO,$39.053,1439682096054,[u'1,291,267']
KTWO,$21.14,1439682096152,[u'58,639']
KALU,$85.24,1439682096180,[u'65,716']
KBIO,$1.92,1439682096191,[u'20,987']
KMDA,$3.88,1439682096219,[u'5,000']
KNDI,$6.84,1439682096235,[u'131,937']
KCLI,$47.97,1439682096270,[u'6,665']
KPTI,$12.02,1439682096493,[u'894,723']
KBSF,$3.76,1439682096523,[u'6,700']
KRNY,$11.55,1439682096572,[u'366,781']
KELYA,$14.81,1439682096621,[u'129,689']
KCAP,$5.06,1439682096648,[u'128,514']
KMPH,$21.45,1439682096702,[u'636,071']
KELYB,NULL,1439682096722,[]
KFFB,$8.29,1439682096898,[u'497']
KERX,$6.05,1439682096910,[u'1,432,292']
GMCR,$50.59,1439682096934,[u'1,268,697']
KTEC,$12.3,1439682096994,[u'180']
KEQU,$17.47,1439682097022,[u'341']
KTCC,$9.96,1439682097040,[u'1,900']
KFRC,$28.01,1439682097124,[u'120,808']
KE,$11.5575,1439682097144,[u'71,983']
KBAL,$11.62,1439682097357,[u'101,039']
KGJI,$0.73,1439682097375,[u'61,875']
KIN,$5.9,1439682097408,[u'8,462']
KONE,$4.07,1439682097459,[u'6,497']
KINS,$8.17,1439682097561,[u'12,600']
KITE,$56.403,1439682097592,[u'1,274,682']
KIRK,$26.64,1439682097671,[u'30,235']
KLXI,$38.92,1439682097691,[u'153,987']
KONA,$20.32,1439682097772,[u'17,159']
KLAC,$51.2,1439682097793,[u'733,798']
KZ,$7.08,1439682097812,[u'65,899']
KRNT,$13.16,1439682097944,[u'3,767']
KOSS,$2.64,1439682097994,[u'9,591']
KOPN,$2.66,1439682098010,[u'284,596']
KWEB,$34.24,1439682098099,[u'6,440']
KTOS,$4.84,1439682098162,[u'231,769']
KLIC,$10.25,1439682098274,[u'122,187']
KUTV,$0.82,1439682098345,[u'16,501']
KVHI,$10.6,1439682098366,[u'34,813']
LJPC,$25.24,1439682098441,[u'58,834']
LSBK,$13.3,1439682098484,[u'627']
KYTH,$74.61,1439682098509,[u'248,448']
FSTR,$19.5,1439682098525,[u'60,513']
LSBG,$14.92,1439682098569,[u'220']
LKFN,$42.35,1439682098680,[u'13,178']
LAKE,$10.06,1439682098788,[u'9,029']
LBAI,$11.32,1439682098810,[u'110,601']
LAMR,$57.24,1439682098885,[u'258,104']
LRCX,$71.073,1439682098949,[u'2,498,810']
LANC,$95.0586,1439682098969,[u'43,243']
LNDC,$13.04,1439682099092,[u'24,760']
LMRK,$15.6,1439682099220,[u'32,218']
LSTR,$69.03,1439682099240,[u'187,795']
LARK,$27.49,1439682099266,[u'12']
LPSB,$14.24,1439682099307,[u'1,338']
LE,$23.03,1439682099327,[u'116,162']
LTRX,$1.31,1439682099343,[u'3,707']
LNTH,$7.45,1439682099366,[u'28,334']
LSCC,$4.05,1439682099507,[u'407,951']
LAWS,$25.1,1439682099585,[u'5,391']
LAYN,$8.19,1439682099620,[u'67,633']
LCNB,$16.29,1439682099687,[u'582']
LDRH,$40.54,1439682099714,[u'152,376']
LBIX,$3.42,1439682099735,[u'1,992']
LGCY,$7.14,1439682099819,[u'374,846']
LGCYO,$16.5,1439682099876,[u'7,305']
LTXB,$28.952,1439682099927,[u'51,601']
LGCYP,$15.8,1439682099957,[u'3,404']
LMAT,$13.61,1439682100002,[u'61,181']
TREE,$133.71,1439682100034,[u'169,040']
LXRX,$10.48,1439682100124,[u'259,634']
LGIH,$26.53,1439682100181,[u'224,151']
LHCG,$47.48,1439682100192,[u'47,939']
LBRDA,$54.51,1439682100386,[u'29,125']
LBRDK,$53.78,1439682100414,[u'66,287']
LBTYA,$52.02,1439682100440,[u'1,082,201']
LBTYB,NULL,1439682100451,[]
LBTYK,$48.17,1439682100527,[u'1,683,923']
LVNTA,$41.58,1439682100582,[u'159,361']
LILA,$39.31,1439682100660,[u'65,249']
LVNTB,NULL,1439682100714,[]
LILAK,$39.09,1439682100738,[u'80,128']
QVCA,$30.26,1439682100792,[u'427,163']
QVCB,NULL,1439682100848,[]
LMCA,$38.28,1439682100994,[u'318,106']
LMCB,NULL,1439682101010,[]
LMCK,$37.87,1439682101122,[u'492,025']
TAX,$24.44,1439682101140,[u'4,763']
LTRPA,$26.38,1439682101171,[u'177,043']
LPNT,$81.8473,1439682101302,[u'230,651']
LTRPB,NULL,1439682101364,[]
LCUT,$14.92,1439682101386,[u'8,462']
LFVN,$0.72,1439682101575,[u'87,568']
LWAY,$14.84,1439682101609,[u'13,182']
LPTH,$1.7,1439682101621,[u'8,316']
LTBR,$1.05,1439682101632,[u'12,708']
LGND,$93.84,1439682101660,[u'118,338']
LIME,$3.72,1439682101707,[u'14,182']
LLEX,$0.83,1439682101751,[u'380']
LLNW,$2.7,1439682101989,[u'835,632']
LMNR,$19.48,1439682102005,[u'11,682']
LIND,$9.6,1439682102098,[u'11,374']
LINC,$1.05,1439682102134,[u'43,485']
LECO,$62.05,1439682102155,[u'187,340']
LLTC,$41.24,1439682102227,[u'1,414,063']
LINDW,$1.5,1439682102265,[u'600']
LNCO,$3.08,1439682102371,[u'1,216,720']
LINE,$3.14,1439682102396,[u'2,573,890']
LIOX,$5.99,1439682102466,[u'99,348']
LBIO,$7.15,1439682102522,[u'197,367']
LPCN,$16.51,1439682102576,[u'266,267']
LFUS,$92.91,1439682102739,[u'61,970']
LIQD,$0.13,1439682102750,[u'222,479']
LQDT,$7.95,1439682102771,[u'222,914']
LOB,$19.22,1439682102812,[u'79,933']
LIVE,$1.97,1439682103190,[u'91,648']
LPSN,$9.2,1439682103351,[u'118,472']
LMIA,$11.96,1439682103362,[u'8,076']
LOGI,$13.6,1439682103391,[u'45,099']
LKQ,$31.5262,1439682103402,[u'709,710']
LNBB,$19.38,1439682103426,[u'28,831']
LOGM,$70.66,1439682103659,[u'75,996']
LABC,$23.99,1439682103693,[u'218']
LOJN,$3.54,1439682103736,[u'11,097']
EVAR,$3.95,1439682103756,[u'5,607']
LORL,$61.48,1439682103776,[u'19,965']
LOXO,$19.83,1439682103804,[u'52,724']
LOOK,$0.6,1439682103995,[u'2,112']
LPTN,$0.235,1439682104015,[u'319,818']
LPLA,$42.8386,1439682104134,[u'229,108']
LRAD,$1.72,1439682104177,[u'16,352']
LYTS,$9.53,1439682104296,[u'119,978']
LULU,$65.1622,1439682104369,[u'700,758']
LMOS,$13.2,1439682104621,[u'35,466']
LMNS,$13.88,1439682104656,[u'86,567']
LMNX,$19.26,1439682104668,[u'111,062']
LUNA,$1.17,1439682104680,[u'35,688']
LITE,$20.33,1439682104691,[u'196,357']
MCBC,$5.3,1439682104728,[u'8,299']
MBTF,$6,1439682104743,[u'11,170']
MTSI,$32.84,1439682104789,[u'201,572']
MCUR,$12.89,1439682104993,[u'8,838']
MFNC,$10.745,1439682105013,[u'11,486']
MGNX,$30.82,1439682105077,[u'143,059']
MCBK,NULL,1439682105088,[]
MAGS,$4.12,1439682105255,[u'12,656']
MPET,$2.04,1439682105328,[u'15,419']
MGLN,$58.05,1439682105385,[u'114,932']
MGIC,$6.77,1439682105405,[u'28,893']
MNGA,$1.03,1439682105440,[u'198,047']
CALL,$8.7,1439682105576,[u'160,005']
MAG,$49.91,1439682105588,[u'2,717']
MGYR,$10.03,1439682105611,[u'2,039']
MHLDO,NULL,1439682105699,[]
MHLD,$16.39,1439682105915,[u'199,121']
MSFG,$21.52,1439682105947,[u'29,931']
MMYT,$13.2315,1439682105988,[u'117,893']
COOL,$1.44,1439682106026,[u'5,585']
MBUU,$19.03,1439682106042,[u'25,788']
MLVF,$15.8,1439682106215,[u'702']
MAMS,$6.15,1439682106226,[u'2,932']
MANH,$65.39,1439682106287,[u'224,907']
LOAN,$3.78,1439682106349,[u'13,854']
MNTX,$6.74,1439682106401,[u'29,618']
MTEX,$18.84,1439682106538,[u'736']
MNKD,$4.08,1439682106565,[u'2,087,343']
MANT,$28.72,1439682106577,[u'56,008']
MARA,$3.1,1439682106615,[u'100,380']
MCHX,$4.16,1439682106626,[u'31,779']
MRNS,$15.17,1439682106885,[u'19,923']
MARPS,$6.1,1439682106905,[u'410']
MRLN,$13.83,1439682106931,[u'10,408']
MKTX,$96.38,1439682106952,[u'68,856']
MRKT,$29.114,1439682106986,[u'933,893']
MKTO,$29.35,1439682107052,[u'101,606']
MAR,$71.8525,1439682107271,[u'700,928']
MRTN,$19.09,1439682107297,[u'30,750']
MBII,$1.95,1439682107316,[u'27,826']
MMLP,$28.34,1439682107357,[u'96,577']
MASI,$42.7,1439682107511,[u'193,614']
MRVL,$12.43,1439682107535,[u'1,792,822']
MTLS,$8.1,1439682107566,[u'27,537']
MTRX,$20.53,1439682107606,[u'78,927']
MAT,$23.0872,1439682107866,[u'2,294,383']
MATR,$6.35,1439682107897,[u'13,208']
MFRM,$62.86,1439682107950,[u'50,562']
MTSN,$2.67,1439682107985,[u'321,313']
MXIM,$33.9069,1439682108003,[u'831,582']
MATW,$53.36,1439682108027,[u'52,568']
MXWL,$5.24,1439682108158,[u'155,767']
MZOR,$12.94,1439682108303,[u'17,292']
MBFI,$33.65,1439682108470,[u'85,657']
MBFIP,$26.87,1439682108499,[u'4,405']
MCFT,$16.175,1439682108510,[u'37,462']
MGRC,$26.14,1439682108538,[u'59,700']
MCGC,$4.36,1439682108554,[u'506,902']
MCOX,$3.3,1439682108645,[u'19,047']
MDCA,$19.41,1439682108805,[u'204,846']
TAXI,$8.16,1439682108879,[u'52,638']
MTBC,$2.26,1439682108900,[u'1,875']
MDAS,$21.58,1439682108924,[u'216,578']
MNOV,$3.61,1439682109112,[u'6,408']
MDSO,$52.59,1439682109124,[u'105,919']
MDGS,NULL,1439682109222,[]
MDVN,$98.99,1439682109284,[u'460,936']
MDVXW,NULL,1439682109332,[]
MDVX,$2.74,1439682109351,[u'1,477']
MDWD,$7.01,1439682109383,[u'2,630']
MEIP,$1.6,1439682109508,[u'138,175']
MEET,$1.59,1439682109534,[u'139,657']
MELR,$14.45,1439682109740,[u'1,722']
MLNX,$42.6314,1439682109759,[u'180,027']
MPEL,$21.94,1439682109770,[u'1,564,581']
MELA,$1.14,1439682109793,[u'43,211']
MRD,$19.35,1439682109855,[u'484,514']
MEMP,$6.79,1439682110009,[u'750,075']
MENT,$26.21,1439682110070,[u'584,768']
