ANIP,$54.76,1439682314733,[u'152,414']
ANTH,$9.22,1439682314785,[u'581,423']
ABAC,$0.92,1439682314890,[u'4,540']
ATNY,$2.41,1439682315048,[u'1,519']
APOG,$54.27,1439682315084,[u'230,022']
APIC,$8.14,1439682315101,[u'120,354']
APOL,$11.77,1439682315238,[u'591,187']
AINV,$6.7571,1439682315296,[u'1,466,887']
APPF,$16.75,1439682315322,[u'25,821']
ARCI,$1.36,1439682315429,[u'543']
AAPL,$116.14,1439682315448,[u'24,640,968']
APDN,$3.37,1439682315470,[u'80,801']
APDNW,$1.29,1439682315484,[u'2,500']
AGTC,$15.64,1439682315526,[u'42,383']
AMAT,$16.64,1439682315582,[u'24,370,499']
AMCC,$5.85,1439682315668,[u'944,701']
AAOI,$22.11,1439682315678,[u'229,080']
AREX,$2.69,1439682315800,[u'237,180']
APRI,$1.19,1439682315944,[u'45,007']
AQMS,$5.44,1439682316008,[u'36,756']
APTO,$5.26,1439682316065,[u'1,382']
AQXP,$22.25,1439682316085,[u'2,857,817']
AUMAW,$0.27,1439682316104,[u'9,600']
AUMA,$9.75,1439682316138,[u'1,486']
AUMAU,NULL,1439682316186,[]
ARDM,$7.49,1439682316302,[u'164']
PETX,$16.98,1439682316381,[u'171,169']
ABUS,$8.4978,1439682316419,[u'297,770']
ARCW,$3.74,1439682316461,[u'6,686']
RKDA,$4.69,1439682316571,[u'10,701']
ABIO,$0.92,1439682316668,[u'222,980']
ARCB,$32.61,1439682316682,[u'134,416']
ACAT,$30,1439682316786,[u'78,303']
ARDX,$18.91,1439682316873,[u'59,867']
ACGL,$73.4547,1439682316884,[u'200,784']
ARCC,$16.14,1439682316909,[u'687,294']
ARNA,$3.397,1439682316924,[u'1,055,655']
AGII,$57.86,1439682316962,[u'79,188']
AGIIL,$25.37,1439682317084,[u'3,309']
ARGS,$4.21,1439682317100,[u'14,978']
ARIS,$3.32,1439682317202,[u'300']
ARIA,$7.27,1439682317303,[u'1,332,183']
ARKR,$25.4,1439682317337,[u'116']
ARTX,$1.57,1439682317355,[u'104,073']
ARMH,$42.47,1439682317394,[u'10,028,759']
ARWAR,NULL,1439682317619,[]
ARWAW,NULL,1439682317628,[]
ARWA,NULL,1439682317649,[]
ARWAU,$10.11,1439682317663,[u'1,334']
ARQL,$1.69,1439682317726,[u'44,695']
ARRY,$5.7,1439682317795,[u'635,862']
AROW,$27.56,1439682317813,[u'9,694']
ARRS,$27.5836,1439682317926,[u'439,421']
DWAT,$10.4642,1439682318015,[u'1,950']
ARTW,$4.5,1439682318092,[u'2,770']
ARWR,$5.52,1439682318111,[u'981,689']
ARTNA,$22.38,1439682318190,[u'13,665']
ASBB,$24.82,1439682318241,[u'232']
ASND,$17.02,1439682318272,[u'67,219']
ASCMA,$29.02,1439682318336,[u'105,505']
ASNA,$12.36,1439682318377,[u'725,469']
ASTI,$0.22,1439682318442,[u'731,544']
APWC,$2.0912,1439682318468,[u'1,000']
ASMI,$38.99,1439682318482,[u'1,156']
ASML,$92.69,1439682318540,[u'1,154,458']
AZPN,$37.65,1439682318626,[u'2,950,503']
ASMB,$13.28,1439682318675,[u'51,498']
ASTE,$38.59,1439682318835,[u'65,215']
ASFI,$9.14,1439682318873,[u'11,702']
ALOT,$13.89,1439682319033,[u'1,069']
ATRO,$60.31,1439682319050,[u'151,389']
ASTC,$2.39,1439682319082,[u'9,367']
ASUR,$6.07,1439682319123,[u'5,246']
ATRA,$47.18,1439682319174,[u'101,591']
ATAI,$3.19,1439682319206,[u'8,015']
ATHN,$138.1303,1439682319232,[u'123,936']
AFCB,$28,1439682319244,[u'518']
AAME,$3.59,1439682319477,[u'4,202']
AAPC,$10.17,1439682319522,[u'21']
ATHX,$1.19,1439682319544,[u'84,041']
ACFC,$6.1,1439682319561,[u'67,949']
ATNI,$74.13,1439682319600,[u'33,722']
ATLC,$3.98,1439682319698,[u'1,571']
AAWW,$45.06,1439682319759,[u'109,644']
AFH,$17,1439682319820,[u'26,478']
ATML,$7.81,1439682319857,[u'2,155,297']
ATRC,$26.46,1439682319929,[u'83,571']
ATRM,$3.07,1439682319943,[u'908']
ATRI,$407,1439682319961,[u'1,781']
ATOS,$0.98,1439682320026,[u'56,888']
ATTU,$14.58,1439682320203,[u'48,192']
LIFE,$14.33,1439682320213,[u'25,342']
AUBN,$27.14,1439682320233,[u'130']
AUDC,$3.18,1439682320395,[u'91,957']
AUPH,$3.42,1439682320444,[u'11,765']
ADAT,$0.1051,1439682320606,[u'43,263']
ABTL,$19.79,1439682320625,[u'170,648']
ADP,$82.8833,1439682320664,[u'1,297,619']
EARS,$5.04,1439682320679,[u'6,000']
AVGO,$122.2,1439682320767,[u'1,569,400']
ADSK,$54.86,1439682320778,[u'665,236']
AAVL,$10.03,1439682320799,[u'3,871,799']
AVNU,$13.1,1439682320817,[u'284']
AVNW,$1.14,1439682321015,[u'63,992']
AVID,$9.15,1439682321071,[u'308,546']
AVEO,$1.17,1439682321112,[u'377,529']
AVGR,$15.46,1439682321222,[u'32,693']
CAR,$44.07,1439682321269,[u'1,131,755']
AWRE,$3.23,1439682321309,[u'8,828']
AXPWW,NULL,1439682321418,[]
ACLS,$3.21,1439682321456,[u'292,850']
